#tags: deutsch verbs abridged
#deck: _Default::Deutsch
#notetype: Deutsch-Cloze
#separator: Semicolon

Er/Sie {{c1::ist::sein, Präsens}};
Sie {{c1::haben gespielt::spielen, Perfekt}};
Sie {{c1::haben gesprochen::sprechen, Perfekt}};
Sie {{c1::sind gesprungen::springen, Perfekt}};
Sie {{c1::haben gestochen::stechen, Perfekt}};
Sie {{c1::sind gestanden::stehen, Perfekt}};
Sie {{c1::haben gestohlen::stehlen, Perfekt}};
Sie {{c1::haben gestiegen::steigen, Perfekt}};
Sie {{c1::haben gestellt::stellen, Perfekt}};
Sie {{c1::sind gestorben::sterben, Perfekt}};
Sie {{c1::haben gestunken::stinken, Perfekt}};
Sie {{c1::sind gestoßen::stoßen, Perfekt}};
Sie {{c1::haben gestreichelt::streicheln, Perfekt}};
Sie {{c1::haben gestrichen::streichen, Perfekt}};
Sie {{c1::haben gestritten::streiten, Perfekt}};
Sie {{c1::haben studiert::studieren, Perfekt}};
Sie {{c1::haben gesucht::suchen, Perfekt}};
Sie {{c1::haben getanzt::tanzen, Perfekt}};
Sie {{c1::haben getragen::tragen, Perfekt}};
Sie {{c1::sind getroffen::treffen, Perfekt}};
Sie {{c1::haben getrieben::treiben, Perfekt}};
Sie {{c1::haben getreten::treten, Perfekt}};
Sie {{c1::haben getrunken::trinken, Perfekt}};
Sie {{c1::haben getan::tun, Perfekt}};
Sie {{c1::haben verbunden::verbinden, Perfekt}};
Sie {{c1::sind vergangen::vergehen, Perfekt}};
Sie {{c1::haben vergessen::vergessen, Perfekt}};
Sie {{c1::haben verglichen::vergleichen, Perfekt}};
Sie {{c1::haben verlassen::verlassen, Perfekt}};
Sie {{c1::haben verloren::verlieren, Perfekt}};
Sie {{c1::haben vermieden::vermeiden, Perfekt}};
Sie {{c1::haben vernommen::vernehmen, Perfekt}};
Sie {{c1::haben verstanden::verstehen, Perfekt}};
Sie {{c1::haben versucht::versuchen, Perfekt}};
Sie {{c1::haben verziehen::verzeihen, Perfekt}};
Sie {{c1::haben vorbereitet::vorbereiten, Perfekt}};
Sie {{c1::haben vorgestellt::vorstellen, Perfekt}};
Sie {{c1::haben gewachsen::wachsen, Perfekt}};
Sie {{c1::haben gewartet::warten, Perfekt}};
Sie {{c1::haben gewaschen::waschen, Perfekt}};
Sie {{c1::haben wehgetan::wehtun, Perfekt}};
Sie {{c1::haben gewandt::wenden (nicht umdrehen), Perfekt}};
Sie {{c1::haben gewendet::wenden (umdrehen), Perfekt}};
Sie {{c1::haben geworfen::werfen, Perfekt}};
Sie {{c1::haben gewusst::wissen, Perfekt}};
Sie {{c1::haben gewohnt::wohnen, Perfekt}};
Sie {{c1::haben gezeigt::zeigen, Perfekt}};
Sie {{c1::haben gezogen::ziehen, Perfekt}};
Sie {{c1::haben zugelassen::zulassen, Perfekt}};
